panel,u2,u3,T_star
CARA,-1.35471,1.35471,2
CARA,-1.33868,1.33868,2
CARA,-1.32265,1.32265,2
CARA,-1.30661,1.30661,2
CARA,-1.29058,1.29058,2
CARA,-1.27455,1.27455,2
CARA,-1.25852,1.25852,2
CARA,-1.24248,1.24248,2
CARA,-1.22645,1.22645,2
CARA,-1.21042,1.21042,2
CARA,-1.19439,1.19439,2
CARA,-1.17836,1.17836,2
CARA,-1.16232,1.16232,2
CARA,-1.14629,1.14629,2
CARA,-1.13026,1.13026,2
CARA,-1.11423,1.11423,2
CARA,-1.0982,1.0982,2
CARA,-1.08216,1.08216,2
CARA,-1.06613,1.06613,2
CARA,-1.0501,1.0501,2
CARA,-1.03407,1.03407,2
CARA,-1.01804,1.01804,2
CARA,-1.002,1.002,2
CARA,-0.985972,0.985972,2
CARA,-0.96994,0.96994,2
CARA,-0.953908,0.953908,2
CARA,-0.937876,0.937876,2
CARA,-0.921844,0.921844,2
CARA,-0.905812,0.905812,2
CARA,-0.88978,0.88978,2
CARA,-0.873747,0.873747,2
CARA,-0.857715,0.857715,2
CARA,-0.841683,0.841683,2
CARA,-0.825651,0.825651,2
CARA,-0.809619,0.809619,2
CARA,-0.793587,0.793587,2
CARA,-0.777555,0.777555,2
CARA,-0.761523,0.761523,2
CARA,-0.745491,0.745491,2
CARA,-0.729459,0.729459,2
CARA,-0.713427,0.713427,2
CARA,-0.697395,0.697395,2
CARA,-0.681363,0.681363,2
CARA,-0.665331,0.665331,2
CARA,-0.649299,0.649299,2
CARA,-0.633267,0.633267,2
CARA,-0.617234,0.617234,2
CARA,-0.601202,0.601202,2
CARA,-0.58517,0.58517,2
CARA,-0.569138,0.569138,2
CARA,-0.553106,0.553106,2
CARA,-0.537074,0.537074,2
CARA,-0.521042,0.521042,2
CARA,-0.50501,0.50501,2
CARA,-0.488978,0.488978,2
CARA,-0.472946,0.472946,2
CARA,-0.456914,0.456914,2
CARA,-0.440882,0.440882,2
CARA,-0.42485,0.42485,2
CARA,-0.408818,0.408818,2
CARA,-0.392786,0.392786,2
CARA,-0.376754,0.376754,2
CARA,-0.360721,0.360721,2
CARA,-0.344689,0.344689,2
CARA,-0.328657,0.328657,2
CARA,-0.312625,0.312625,2
CARA,-0.296593,0.296593,2
CARA,-0.280561,0.280561,2
CARA,-0.264529,0.264529,2
CARA,-0.248497,0.248497,2
CARA,-0.232465,0.232465,2
CARA,-0.216433,0.216433,2
CARA,-0.200401,0.200401,2
CARA,-0.184369,0.184369,2
CARA,-0.168337,0.168337,2
CARA,-0.152305,0.152305,2
CARA,-0.136273,0.136273,2
CARA,-0.12024,0.12024,2
CARA,-0.104208,0.104208,2
CARA,-0.0881764,0.0881764,2
CARA,-0.0721443,0.0721443,2
CARA,-0.0561122,0.0561122,2
CARA,-0.0400802,0.0400802,2
CARA,-0.0240481,0.0240481,2
CARA,-0.00801603,0.00801603,2
CARA,0.00801603,-0.00801603,2
CARA,0.0240481,-0.0240481,2
CARA,0.0400802,-0.0400802,2
CARA,0.0561122,-0.0561122,2
CARA,0.0721443,-0.0721443,2
CARA,0.0881764,-0.0881764,2
CARA,0.104208,-0.104208,2
CARA,0.12024,-0.12024,2
CARA,0.136273,-0.136273,2
CARA,0.152305,-0.152305,2
CARA,0.168337,-0.168337,2
CARA,0.184369,-0.184369,2
CARA,0.200401,-0.200401,2
CARA,0.216433,-0.216433,2
CARA,0.232465,-0.232465,2
CARA,0.248497,-0.248497,2
CARA,0.264529,-0.264529,2
CARA,0.280561,-0.280561,2
CARA,0.296593,-0.296593,2
CARA,0.312625,-0.312625,2
CARA,0.328657,-0.328657,2
CARA,0.344689,-0.344689,2
CARA,0.360721,-0.360721,2
CARA,0.376754,-0.376754,2
CARA,0.392786,-0.392786,2
CARA,0.408818,-0.408818,2
CARA,0.42485,-0.42485,2
CARA,0.440882,-0.440882,2
CARA,0.456914,-0.456914,2
CARA,0.472946,-0.472946,2
CARA,0.488978,-0.488978,2
CARA,0.50501,-0.50501,2
CARA,0.521042,-0.521042,2
CARA,0.537074,-0.537074,2
CARA,0.553106,-0.553106,2
CARA,0.569138,-0.569138,2
CARA,0.58517,-0.58517,2
CARA,0.601202,-0.601202,2
CARA,0.617234,-0.617234,2
CARA,0.633267,-0.633267,2
CARA,0.649299,-0.649299,2
CARA,0.665331,-0.665331,2
CARA,0.681363,-0.681363,2
CARA,0.697395,-0.697395,2
CARA,0.713427,-0.713427,2
CARA,0.729459,-0.729459,2
CARA,0.745491,-0.745491,2
CARA,0.761523,-0.761523,2
CARA,0.777555,-0.777555,2
CARA,0.793587,-0.793587,2
CARA,0.809619,-0.809619,2
CARA,0.825651,-0.825651,2
CARA,0.841683,-0.841683,2
CARA,0.857715,-0.857715,2
CARA,0.873747,-0.873747,2
CARA,0.88978,-0.88978,2
CARA,0.905812,-0.905812,2
CARA,0.921844,-0.921844,2
CARA,0.937876,-0.937876,2
CARA,0.953908,-0.953908,2
CARA,0.96994,-0.96994,2
CARA,0.985972,-0.985972,2
CARA,1.002,-1.002,2
CARA,1.01804,-1.01804,2
CARA,1.03407,-1.03407,2
CARA,1.0501,-1.0501,2
CARA,1.06613,-1.06613,2
CARA,1.08216,-1.08216,2
CARA,1.0982,-1.0982,2
CARA,1.11423,-1.11423,2
CARA,1.13026,-1.13026,2
CARA,1.14629,-1.14629,2
CARA,1.16232,-1.16232,2
CARA,1.17836,-1.17836,2
CARA,1.19439,-1.19439,2
CARA,1.21042,-1.21042,2
CARA,1.22645,-1.22645,2
CARA,1.24248,-1.24248,2
CARA,1.25852,-1.25852,2
CARA,1.27455,-1.27455,2
CARA,1.29058,-1.29058,2
CARA,1.30661,-1.30661,2
CARA,1.32265,-1.32265,2
CARA,1.33868,-1.33868,2
CARA,1.35471,-1.35471,2
CARA,1.37074,-1.37074,2
CARA,1.38677,-1.38677,2
CARA,1.40281,-1.40281,2
CARA,1.41884,-1.41884,2
CARA,1.43487,-1.43487,2
CARA,1.4509,-1.4509,2
CARA,1.46693,-1.46693,2
CARA,1.48297,-1.48297,2
CARA,1.499,-1.499,2
CARA,1.51503,-1.51503,2
CARA,1.53106,-1.53106,2
CARA,1.54709,-1.54709,2
CARA,1.56313,-1.56313,2
CARA,1.57916,-1.57916,2
CARA,1.59519,-1.59519,2
CARA,1.61122,-1.61122,2
CARA,1.62725,-1.62725,2
CARA,1.64329,-1.64329,2
CARA,1.65932,-1.65932,2
CARA,1.67535,-1.67535,2
CARA,1.69138,-1.69138,2
CARA,1.70741,-1.70741,2
CARA,1.72345,-1.72345,2
CARA,1.73948,-1.73948,2
CARA,1.75551,-1.75551,2
CARA,1.77154,-1.77154,2
CARA,1.78758,-1.78758,2
CARA,1.80361,-1.80361,2
CARA,1.81964,-1.81964,2
CARA,1.83567,-1.83567,2
CARA,1.8517,-1.8517,2
CARA,1.86774,-1.86774,2
CARA,1.88377,-1.88377,2
CARA,1.8998,-1.8998,2
CARA,1.91583,-1.91583,2
CARA,1.93186,-1.93186,2
CARA,1.9479,-1.9479,2
CARA,1.96393,-1.96393,2
CARA,1.97996,-1.97996,2
CARA,1.99599,-1.99599,2
CARA,2.01202,-2.01202,2
