panel,u2,u3,T_star
CRRA,0.0400802,0.241713,2.56359
CRRA,0.0561122,0.225956,2.56414
CRRA,0.0721443,0.210151,2.56459
CRRA,0.0881764,0.194298,2.56495
CRRA,0.104208,0.178398,2.56521
CRRA,0.12024,0.162451,2.56538
CRRA,0.136273,0.146458,2.56546
CRRA,0.152305,0.130417,2.56544
CRRA,0.168337,0.114329,2.56533
CRRA,0.184369,0.0981941,2.56513
CRRA,0.200401,0.0820107,2.56482
CRRA,0.216433,0.0657783,2.56442
CRRA,0.232465,0.0494958,2.56392
CRRA,0.248497,0.0331619,2.56332
CRRA,0.264529,0.0167752,2.56261
CRRA,0.280561,0.000333729,2.56179
CRRA,0.296593,-0.0161644,2.56086
CRRA,0.312625,-0.0327216,2.55981
CRRA,0.328657,-0.0493403,2.55863
CRRA,0.344689,-0.0660236,2.55733
CRRA,0.360721,-0.0827746,2.55589
CRRA,0.376754,-0.099597,2.55431
CRRA,0.392786,-0.116495,2.55258
CRRA,0.408818,-0.133472,2.55069
CRRA,0.42485,-0.150534,2.54863
CRRA,0.440882,-0.167686,2.54639
CRRA,0.456914,-0.184934,2.54396
CRRA,0.472946,-0.202283,2.54133
CRRA,0.488978,-0.219742,2.53847
CRRA,0.50501,-0.237318,2.53538
CRRA,0.521042,-0.25502,2.53204
CRRA,0.537074,-0.272856,2.52844
CRRA,0.553106,-0.290838,2.52454
CRRA,0.569138,-0.308977,2.52032
CRRA,0.58517,-0.327285,2.51577
CRRA,0.601202,-0.345777,2.51085
CRRA,0.617234,-0.364468,2.50553
CRRA,0.633267,-0.383375,2.49978
CRRA,0.649299,-0.402518,2.49356
CRRA,0.665331,-0.421917,2.48683
CRRA,0.681363,-0.441598,2.47953
CRRA,0.697395,-0.461588,2.47161
CRRA,0.713427,-0.481916,2.46302
CRRA,0.729459,-0.502619,2.45368
CRRA,0.745491,-0.523735,2.44351
CRRA,0.761523,-0.54531,2.43243
CRRA,0.777555,-0.567397,2.42032
CRRA,0.793587,-0.590056,2.40706
CRRA,0.809619,-0.613358,2.39252
CRRA,0.825651,-0.637387,2.37653
CRRA,0.841683,-0.662242,2.35888
CRRA,0.857715,-0.688043,2.33935
CRRA,0.873747,-0.714934,2.31763
CRRA,0.88978,-0.743093,2.29337
CRRA,0.905812,-0.772743,2.26614
CRRA,0.921844,-0.804166,2.23535
CRRA,0.937876,-0.83773,2.20029
CRRA,0.953908,-0.873921,2.15997
CRRA,0.96994,-0.913408,2.11306
CRRA,0.985972,-0.957145,2.05765
CRRA,1.002,-1.00655,1.9909
CRRA,1.01804,-1.06389,1.90829
CRRA,1.03407,-1.13309,1.80195
CRRA,1.0501,-1.22195,1.65629
CRRA,1.06613,-1.34979,1.43268
CRRA,1.08216,-1.59576,0.972804
