tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
4.459999999999969,4.459999999999969,4.459999999999969,3.0,3.0,3.0,NK,1,26.09,1.594e-03,1.594e-03,1.356933e-01,0.6231775697,0.63093420,0.63926211,0.63106282,-0.008328,1,warm
4.499999999999968,4.499999999999968,4.499999999999968,3.0,3.0,3.0,NK,1,26.65,1.252e-03,1.252e-03,1.392772e-01,0.6221706191,0.62964513,0.63895249,0.62975991,-0.009307,1,warm
4.549999999999967,4.549999999999967,4.549999999999967,3.0,3.0,3.0,NK,1,26.75,1.427e-03,1.427e-03,1.567920e-01,0.6214148778,0.62912438,0.63892710,0.62923398,-0.009803,1,warm
4.609999999999966,4.609999999999966,4.609999999999966,3.0,3.0,3.0,NK,1,25.32,2.107e-03,2.107e-03,1.421370e-01,0.6205111705,0.62848481,0.63887526,0.62860288,-0.010390,1,warm
4.6199999999999655,4.6199999999999655,4.6199999999999655,3.0,3.0,3.0,NK,1,27.27,2.189e-03,2.189e-03,1.488281e-01,0.6202511277,0.62828881,0.63878056,0.62840764,-0.010492,1,warm
4.639999999999965,4.639999999999965,4.639999999999965,3.0,3.0,3.0,NK,1,26.22,2.311e-03,2.311e-03,1.268673e-01,0.6200196248,0.62817237,0.63879939,0.62826477,-0.010627,1,warm
4.669999999999964,4.669999999999964,4.669999999999964,3.0,3.0,3.0,NK,1,27.61,2.661e-03,2.661e-03,1.658569e-01,0.6192362384,0.62756297,0.63849236,0.62766731,-0.010929,1,warm
3.4799999999999898,3.4799999999999898,3.4799999999999898,3.0,3.0,3.0,P0.3,1500,51.76,1.183e-02,2.834e-02,2.418856e-02,0.7000769175,0.71699500,0.70862009,0.71726497,0.008375,0,warm
3.4899999999999896,3.4899999999999896,3.4899999999999896,3.0,3.0,3.0,NK,1,28.01,1.558e-03,1.558e-03,1.121523e-01,0.6313860208,0.64432817,0.63381920,0.64432839,0.010509,1,warm
3.519999999999989,3.519999999999989,3.519999999999989,3.0,3.0,3.0,NK,1,29.45,9.151e-04,9.151e-04,9.880703e-02,0.6311948369,0.64412589,0.63404068,0.64413730,0.010085,1,warm
3.5399999999999885,3.5399999999999885,3.5399999999999885,3.0,3.0,3.0,NK,1,28.35,3.238e-03,3.238e-03,1.552175e-01,0.6310024991,0.64391748,0.63414185,0.64392368,0.009776,0,warm
3.5499999999999883,3.5499999999999883,3.5499999999999883,3.0,3.0,3.0,NK,1,29.06,7.065e-04,7.065e-04,8.280179e-02,0.6309868882,0.64390780,0.63425664,0.64390762,0.009651,1,warm
3.569999999999988,3.569999999999988,3.569999999999988,3.0,3.0,3.0,NK,1,25.22,1.295e-02,1.295e-02,1.772308e-01,0.6288535621,0.64158917,0.63202848,0.64171336,0.009561,0,warm
3.5799999999999876,3.5799999999999876,3.5799999999999876,3.0,3.0,3.0,NK,1,28.41,8.103e-04,8.103e-04,8.888584e-02,0.6308202297,0.64372210,0.63450030,0.64372332,0.009222,1,warm
3.5899999999999874,3.5899999999999874,3.5899999999999874,3.0,3.0,3.0,NK,1,28.72,2.641e-02,2.641e-02,1.020053e-01,0.6307637347,0.64365865,0.63457872,0.64365648,0.009080,0,warm
3.619999999999987,3.619999999999987,3.619999999999987,3.0,3.0,3.0,NK,1,29.04,1.323e-03,1.323e-03,1.106751e-01,0.6304628270,0.64334103,0.63469883,0.64328288,0.008642,1,warm
3.6399999999999864,3.6399999999999864,3.6399999999999864,3.0,3.0,3.0,NK,1,29.27,7.966e-04,7.966e-04,9.797819e-02,0.6304193823,0.64326065,0.63491781,0.64325048,0.008343,1,warm
3.649999999999986,3.649999999999986,3.649999999999986,3.0,3.0,3.0,NK,1,28.78,8.181e-04,8.181e-04,1.062897e-01,0.6303297513,0.64315562,0.63496481,0.64314106,0.008191,1,warm
3.6699999999999857,3.6699999999999857,3.6699999999999857,3.0,3.0,3.0,NK,1,28.38,5.766e-02,5.766e-02,1.494353e-01,0.6338131577,0.64701827,0.63823433,0.64703391,0.008784,0,warm
3.6799999999999855,3.6799999999999855,3.6799999999999855,3.0,3.0,3.0,NK,1,28.91,9.154e-04,9.154e-04,9.689521e-02,0.6300396174,0.64280935,0.63509470,0.64279425,0.007715,1,warm
3.6899999999999853,3.6899999999999853,3.6899999999999853,3.0,3.0,3.0,NK,1,28.87,9.210e-04,9.210e-04,8.280766e-02,0.6299205662,0.64266396,0.63512684,0.64265251,0.007537,1,warm
