tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.0,3.0,3.0,50,50,50,P1.0,300,1.73,9.544e-09,1.691e-06,2.577026e-03,0.9965985519,0.99721478,0.99730578,0.99721478,-0.000091,1,cold
3.0,3.0,3.0,49.0,49.0,49.0,P1.0,18,0.10,9.692e-09,1.726e-06,2.576982e-03,0.9965985549,0.99721478,0.99730578,0.99721478,-0.000091,1,warm
3.0,3.0,3.0,48.0,48.0,48.0,P1.0,20,0.11,9.212e-09,1.762e-06,2.576935e-03,0.9965985583,0.99721478,0.99730578,0.99721478,-0.000091,1,warm
3.0,3.0,3.0,47.0,47.0,47.0,P1.0,20,0.11,9.833e-09,1.799e-06,2.576886e-03,0.9965985618,0.99721478,0.99730578,0.99721478,-0.000091,1,warm
3.0,3.0,3.0,46.0,46.0,46.0,P1.0,21,0.12,9.136e-09,1.838e-06,2.576834e-03,0.9965985655,0.99721478,0.99730578,0.99721478,-0.000091,1,warm
3.0,3.0,3.0,45.0,45.0,45.0,P1.0,21,0.12,9.532e-09,1.879e-06,2.576781e-03,0.9965985693,0.99721478,0.99730578,0.99721478,-0.000091,1,warm
3.0,3.0,3.0,44.0,44.0,44.0,P1.0,21,0.12,9.983e-09,1.922e-06,2.576725e-03,0.9965985733,0.99721478,0.99730579,0.99721478,-0.000091,1,warm
3.0,3.0,3.0,43.0,43.0,43.0,P1.0,22,0.13,9.147e-09,1.967e-06,2.576666e-03,0.9965985776,0.99721479,0.99730579,0.99721479,-0.000091,1,warm
3.0,3.0,3.0,42.0,42.0,42.0,P1.0,22,0.13,9.531e-09,2.013e-06,2.576605e-03,0.9965985820,0.99721479,0.99730579,0.99721479,-0.000091,1,warm
3.0,3.0,3.0,41.0,41.0,41.0,P1.0,22,0.13,9.994e-09,2.063e-06,2.576540e-03,0.9965985866,0.99721479,0.99730579,0.99721479,-0.000091,1,warm
3.0,3.0,3.0,40.0,40.0,40.0,P1.0,23,0.13,9.144e-09,2.114e-06,2.576473e-03,0.9965985915,0.99721479,0.99730579,0.99721479,-0.000091,1,warm
3.0,3.0,3.0,39.0,39.0,39.0,P1.0,23,0.13,9.568e-09,2.168e-06,2.576402e-03,0.9965985966,0.99721479,0.99730579,0.99721479,-0.000091,1,warm
3.0,3.0,3.0,38.0,38.0,38.0,P1.0,24,0.14,8.746e-09,2.225e-06,2.576327e-03,0.9965986019,0.99721479,0.99730580,0.99721479,-0.000091,1,warm
3.0,3.0,3.0,37.0,37.0,37.0,P1.0,24,0.14,9.182e-09,2.286e-06,2.576248e-03,0.9965986076,0.99721480,0.99730580,0.99721480,-0.000091,1,warm
3.0,3.0,3.0,36.0,36.0,36.0,P1.0,24,0.14,9.690e-09,2.349e-06,2.576165e-03,0.9965986136,0.99721480,0.99730580,0.99721480,-0.000091,1,warm
3.0,3.0,3.0,35.0,35.0,35.0,P1.0,25,0.14,8.868e-09,2.416e-06,2.576077e-03,0.9965986199,0.99721480,0.99730580,0.99721480,-0.000091,1,warm
3.0,3.0,3.0,34.0,34.0,34.0,P1.0,25,0.14,9.359e-09,2.487e-06,2.575984e-03,0.9965986266,0.99721480,0.99730581,0.99721480,-0.000091,1,warm
3.0,3.0,3.0,33.0,33.0,33.0,P1.0,25,0.15,9.923e-09,2.563e-06,2.575886e-03,0.9965986336,0.99721481,0.99730581,0.99721481,-0.000091,1,warm
3.0,3.0,3.0,32.0,32.0,32.0,P1.0,26,0.15,9.103e-09,2.643e-06,2.575781e-03,0.9965986412,0.99721481,0.99730581,0.99721481,-0.000091,1,warm
3.0,3.0,3.0,31.0,31.0,31.0,P1.0,26,0.15,9.663e-09,2.728e-06,2.575670e-03,0.9965986492,0.99721481,0.99730581,0.99721481,-0.000091,1,warm
3.0,3.0,3.0,30.0,30.0,30.0,P1.0,27,0.15,8.878e-09,2.819e-06,2.575551e-03,0.9965986577,0.99721481,0.99730582,0.99721481,-0.000091,1,warm
