tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.0,3.0,3.0,50.0,50.0,50.0,NK,1,1.37,4.661e-08,4.661e-08,2.087426e-08,0.7685262490,0.76852689,0.76852688,0.76852689,0.000000,1,warm
3.0,3.0,3.0,30.0,30.0,30.0,NA,7,218.61,4.015e-08,4.015e-08,1.594861e-08,0.7685263355,0.76852702,0.76852701,0.76852702,0.000000,1,warm
3.0,3.0,3.0,15.0,15.0,15.0,NA,6,177.05,5.515e-08,5.515e-08,3.422010e-08,0.7685260267,0.76852658,0.76852672,0.76852658,-0.000000,1,warm
3.0,3.0,3.0,10.0,10.0,10.0,NA,3,70.75,5.992e-08,5.992e-08,9.637037e-08,0.7685253641,0.76852562,0.76852583,0.76852562,-0.000000,1,warm
3.0,3.0,3.0,6.0,6.0,6.0,NA,3,72.02,1.775e-08,1.775e-08,1.398952e-07,0.7685247204,0.76852482,0.76852506,0.76852482,-0.000000,1,warm
3.0,3.0,3.0,4.0,4.0,4.0,NA,3,71.32,4.929e-08,4.929e-08,1.044981e-07,0.7685243925,0.76852450,0.76852473,0.76852450,-0.000000,1,warm
3.0,3.0,3.0,3.0,3.0,3.0,NA,1,0.09,7.825e-08,7.825e-08,1.831863e-07,0.7685242299,0.76852437,0.76852456,0.76852435,-0.000000,1,warm
3.2,3.2,3.2,3.0,3.0,3.0,NA,2,0.37,5.837e-08,5.837e-08,1.845616e-07,0.7824492234,0.78244938,0.78244960,0.78244936,-0.000000,1,warm
3.4000000000000004,3.4000000000000004,3.4000000000000004,3.0,3.0,3.0,NA,1,0.08,9.193e-08,9.193e-08,1.908266e-07,0.7957591231,0.79575931,0.79575957,0.79575929,-0.000000,1,warm
