tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.139999999999997,3.139999999999997,3.139999999999997,3.0,3.0,3.0,NK,1,42.23,8.476e-04,8.476e-04,8.350066e-02,0.6376610440,0.65004285,0.63747610,0.65005323,0.012567,1,backward
3.1299999999999972,3.1299999999999972,3.1299999999999972,3.0,3.0,3.0,NK,1,42.25,3.736e-04,3.736e-04,6.435496e-02,0.6379352057,0.65027428,0.63800968,0.65027656,0.012265,1,backward
3.1199999999999974,3.1199999999999974,3.1199999999999974,3.0,3.0,3.0,NK,1,53.10,1.135e-02,1.135e-02,1.277110e-01,0.6378386432,0.65011795,0.63786947,0.65013629,0.012248,0,backward
3.1099999999999977,3.1099999999999977,3.1099999999999977,3.0,3.0,3.0,NK,1,56.41,3.751e-03,3.751e-03,6.941648e-02,0.6385167121,0.65075778,0.63911127,0.65077649,0.011647,0,backward
3.099999999999998,3.099999999999998,3.099999999999998,3.0,3.0,3.0,NK,1,43.12,2.728e-04,2.728e-04,5.576859e-02,0.6386651293,0.65084003,0.63944137,0.65087271,0.011399,1,backward
3.089999999999998,3.089999999999998,3.089999999999998,3.0,3.0,3.0,NK,1,43.37,3.342e-04,3.342e-04,6.331573e-02,0.6391963068,0.65134241,0.64029726,0.65137029,0.011045,1,backward
3.0799999999999983,3.0799999999999983,3.0799999999999983,3.0,3.0,3.0,NK,1,42.39,3.175e-04,3.175e-04,7.805395e-02,0.6395476116,0.65163378,0.64090434,0.65166008,0.010729,1,backward
3.0699999999999985,3.0699999999999985,3.0699999999999985,3.0,3.0,3.0,NK,1,42.73,3.212e-04,3.212e-04,5.740532e-02,0.6398021917,0.65183830,0.64138747,0.65187105,0.010451,1,backward
3.0599999999999987,3.0599999999999987,3.0599999999999987,3.0,3.0,3.0,NK,1,42.77,1.665e-03,1.665e-03,7.236091e-02,0.6400891952,0.65206179,0.64193060,0.65210999,0.010131,1,backward
3.049999999999999,3.049999999999999,3.049999999999999,3.0,3.0,3.0,NK,1,42.41,4.669e-04,4.669e-04,6.870811e-02,0.6403768225,0.65228456,0.64245117,0.65233729,0.009833,1,backward
3.039999999999999,3.039999999999999,3.039999999999999,3.0,3.0,3.0,NK,1,42.50,4.117e-04,4.117e-04,6.941702e-02,0.6408997637,0.65276152,0.64327228,0.65281508,0.009489,1,backward
3.0299999999999994,3.0299999999999994,3.0299999999999994,3.0,3.0,3.0,NK,1,42.25,2.346e-04,2.346e-04,6.316937e-02,0.6412974832,0.65309926,0.64393990,0.65316191,0.009159,1,backward
3.0199999999999996,3.0199999999999996,3.0199999999999996,3.0,3.0,3.0,NK,1,42.32,7.819e-04,7.819e-04,6.976369e-02,0.6418079920,0.65354502,0.64477270,0.65362290,0.008772,1,backward
3.01,3.01,3.01,3.0,3.0,3.0,NK,1,43.01,5.981e-04,5.981e-04,6.014834e-02,0.6422209284,0.65390478,0.64539738,0.65397836,0.008507,1,backward
3.0,3.0,3.0,3.0,3.0,3.0,NK,1,43.59,4.368e-04,4.368e-04,5.679944e-02,0.6422817975,0.65388772,0.64562474,0.65397485,0.008263,1,backward
2.99,2.99,2.99,3.0,3.0,3.0,NK,1,42.66,3.521e-04,3.521e-04,6.025969e-02,0.6432941561,0.65487036,0.64705550,0.65497405,0.007815,1,backward
2.9800000000000004,2.9800000000000004,2.9800000000000004,3.0,3.0,3.0,NK,1,42.98,2.482e-04,2.482e-04,6.890578e-02,0.6444062352,0.65593781,0.64857810,0.65603921,0.007360,1,backward
2.9700000000000006,2.9700000000000006,2.9700000000000006,3.0,3.0,3.0,NK,1,42.61,2.831e-04,2.831e-04,5.694087e-02,0.6453064057,0.65679874,0.64980614,0.65689800,0.006993,1,backward
2.960000000000001,2.960000000000001,2.960000000000001,3.0,3.0,3.0,NK,1,42.98,2.755e-04,2.755e-04,5.451191e-02,0.6463172532,0.65774452,0.65116211,0.65786126,0.006582,1,backward
2.950000000000001,2.950000000000001,2.950000000000001,3.0,3.0,3.0,NK,1,55.41,4.041e-03,4.041e-03,1.023383e-01,0.6473421259,0.65867998,0.65254450,0.65880538,0.006135,0,backward
2.9400000000000013,2.9400000000000013,2.9400000000000013,3.0,3.0,3.0,NK,1,42.87,3.182e-04,3.182e-04,5.502215e-02,0.6473946962,0.65866089,0.65274030,0.65878976,0.005921,1,backward
2.9300000000000015,2.9300000000000015,2.9300000000000015,3.0,3.0,3.0,NK,1,42.69,4.548e-04,4.548e-04,5.027055e-02,0.6493210362,0.66050053,0.65531942,0.66065732,0.005181,1,backward
2.9200000000000017,2.9200000000000017,2.9200000000000017,3.0,3.0,3.0,NK,1,42.73,3.207e-04,3.207e-04,5.916236e-02,0.6534033149,0.66455228,0.66042879,0.66466661,0.004123,1,backward
2.910000000000002,2.910000000000002,2.910000000000002,3.0,3.0,3.0,NK,1,43.42,5.298e-04,5.298e-04,5.359741e-02,0.6552738487,0.66632146,0.66273855,0.66643838,0.003583,1,backward
2.900000000000002,2.900000000000002,2.900000000000002,3.0,3.0,3.0,NK,1,42.71,2.782e-04,2.782e-04,6.884019e-02,0.6552194805,0.66619122,0.66275191,0.66631403,0.003439,1,backward
2.8900000000000023,2.8900000000000023,2.8900000000000023,3.0,3.0,3.0,NK,1,41.87,3.745e-04,3.745e-04,5.545851e-02,0.6588342917,0.66971715,0.66715173,0.66981612,0.002565,1,backward
2.8800000000000026,2.8800000000000026,2.8800000000000026,3.0,3.0,3.0,NK,1,42.90,7.751e-04,7.751e-04,5.671806e-02,0.6636706421,0.67439262,0.67271090,0.67447324,0.001682,1,backward
2.8700000000000028,2.8700000000000028,2.8700000000000028,3.0,3.0,3.0,NK,1,42.41,2.815e-04,2.815e-04,5.293579e-02,0.6692674287,0.67976772,0.67894311,0.67982908,0.000825,1,backward
