tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.4999999999999893,3.4999999999999893,3.4999999999999893,3.0,3.0,3.0,P1.0,227,6.97,9.984e-07,4.302e-05,1.468229e-02,0.6642042670,0.67720979,0.67668267,0.67720979,0.000527,1,warm
3.509999999999989,3.509999999999989,3.509999999999989,3.0,3.0,3.0,P1.0,238,7.31,9.998e-07,8.456e-05,1.468752e-02,0.6635727354,0.67656682,0.67591497,0.67656682,0.000652,1,warm
3.519999999999989,3.519999999999989,3.519999999999989,3.0,3.0,3.0,P1.0,805,24.68,9.912e-07,1.216e-04,1.473223e-02,0.6633932035,0.67639174,0.67582433,0.67639174,0.000567,1,warm
3.5299999999999887,3.5299999999999887,3.5299999999999887,3.0,3.0,3.0,P1.0,331,10.21,9.967e-07,2.161e-05,1.473657e-02,0.6627132841,0.67569367,0.67498287,0.67569367,0.000711,1,warm
3.5399999999999885,3.5399999999999885,3.5399999999999885,3.0,3.0,3.0,P1.0,532,16.21,9.966e-07,1.354e-04,1.474066e-02,0.6620226514,0.67498109,0.67412240,0.67498109,0.000859,1,warm
3.5499999999999883,3.5499999999999883,3.5499999999999883,3.0,3.0,3.0,P1.0,1033,29.73,9.853e-07,7.517e-05,1.483121e-02,0.6612324443,0.67415892,0.67311914,0.67415892,0.001040,1,warm
3.559999999999988,3.559999999999988,3.559999999999988,3.0,3.0,3.0,P1.0,106,3.05,9.941e-07,2.539e-05,1.483648e-02,0.6605400842,0.67343786,0.67224228,0.67343786,0.001196,1,warm
3.569999999999988,3.569999999999988,3.569999999999988,3.0,3.0,3.0,P1.0,106,3.07,9.959e-07,1.986e-04,1.484200e-02,0.6598104297,0.67267390,0.67131502,0.67267390,0.001359,1,warm
3.5799999999999876,3.5799999999999876,3.5799999999999876,3.0,3.0,3.0,P1.0,491,14.09,9.923e-07,1.896e-05,1.489199e-02,0.6589487987,0.67176033,0.67023814,0.67176033,0.001522,1,warm
3.5899999999999874,3.5899999999999874,3.5899999999999874,3.0,3.0,3.0,P1.0,104,2.99,9.848e-07,1.965e-04,1.489674e-02,0.6582262053,0.67099681,0.66930522,0.67099681,0.001692,1,warm
3.599999999999987,3.599999999999987,3.599999999999987,3.0,3.0,3.0,P1.0,104,3.03,9.717e-07,8.792e-05,1.490152e-02,0.6574716581,0.67019574,0.66832771,0.67019574,0.001868,1,warm
3.609999999999987,3.609999999999987,3.609999999999987,3.0,3.0,3.0,P1.0,103,2.97,9.827e-07,4.454e-05,1.490630e-02,0.6567085018,0.66938191,0.66733323,0.66938191,0.002049,1,warm
3.619999999999987,3.619999999999987,3.619999999999987,3.0,3.0,3.0,P1.0,103,3.02,9.755e-07,2.606e-04,1.491106e-02,0.6559352284,0.66855361,0.66631998,0.66855361,0.002234,1,warm
3.6299999999999866,3.6299999999999866,3.6299999999999866,3.0,3.0,3.0,P1.0,103,3.03,9.748e-07,2.940e-04,1.491581e-02,0.6551528059,0.66771182,0.66528907,0.66771182,0.002423,1,warm
3.6399999999999864,3.6399999999999864,3.6399999999999864,3.0,3.0,3.0,P1.0,103,2.98,9.730e-07,2.520e-04,1.492056e-02,0.6543612244,0.66685645,0.66424048,0.66685645,0.002616,1,warm
3.649999999999986,3.649999999999986,3.649999999999986,3.0,3.0,3.0,P1.0,104,3.02,9.814e-07,3.124e-04,1.492531e-02,0.6535590674,0.66598590,0.66317246,0.66598590,0.002813,1,warm
3.659999999999986,3.659999999999986,3.659999999999986,3.0,3.0,3.0,P1.0,107,3.10,9.672e-07,6.836e-05,1.493004e-02,0.6527465156,0.66510030,0.66208522,0.66510030,0.003015,1,warm
3.6699999999999857,3.6699999999999857,3.6699999999999857,3.0,3.0,3.0,P1.0,110,3.22,9.724e-07,8.001e-05,1.493476e-02,0.6519247241,0.66420082,0.66098011,0.66420082,0.003221,1,warm
3.6799999999999855,3.6799999999999855,3.6799999999999855,3.0,3.0,3.0,P1.0,113,3.27,9.844e-07,1.384e-04,1.493967e-02,0.6510932926,0.66328694,0.65985662,0.66328694,0.003430,1,warm
3.6899999999999853,3.6899999999999853,3.6899999999999853,3.0,3.0,3.0,P1.0,117,3.36,9.669e-07,3.144e-04,1.494464e-02,0.6502513342,0.66235762,0.65871362,0.66235762,0.003644,1,warm
3.699999999999985,3.699999999999985,3.699999999999985,3.0,3.0,3.0,P1.0,120,3.46,9.907e-07,9.455e-05,1.494962e-02,0.6493991964,0.66141315,0.65755152,0.66141315,0.003862,1,warm
3.709999999999985,3.709999999999985,3.709999999999985,3.0,3.0,3.0,P0.3,965,27.28,9.971e-07,7.311e-05,2.632043e-02,0.6486660140,0.66059112,0.65656924,0.66059112,0.004022,1,warm
3.7199999999999847,3.7199999999999847,3.7199999999999847,3.0,3.0,3.0,P1.0,180,5.10,1.000e-06,7.755e-05,2.632778e-02,0.6477903971,0.65961297,0.65536527,0.65961297,0.004248,1,warm
3.7299999999999844,3.7299999999999844,3.7299999999999844,3.0,3.0,3.0,P1.0,193,5.51,9.879e-07,1.187e-04,2.633514e-02,0.6469009962,0.65861544,0.65413757,0.65861544,0.004478,1,warm
3.7399999999999842,3.7399999999999842,3.7399999999999842,3.0,3.0,3.0,P1.0,207,6.00,9.913e-07,9.515e-05,2.634252e-02,0.6459976744,0.65759823,0.65289658,0.65759823,0.004702,1,warm
3.749999999999984,3.749999999999984,3.749999999999984,3.0,3.0,3.0,P1.0,230,6.66,9.978e-07,1.133e-04,2.634990e-02,0.6451439611,0.65663137,0.65230412,0.65663137,0.004327,1,warm
3.759999999999984,3.759999999999984,3.759999999999984,3.0,3.0,3.0,P1.0,261,7.44,9.914e-07,2.951e-05,2.635727e-02,0.6443780230,0.65575739,0.65178135,0.65575739,0.003976,1,warm
3.7699999999999836,3.7699999999999836,3.7699999999999836,3.0,3.0,3.0,P1.0,300,8.54,9.928e-07,1.063e-04,2.636465e-02,0.6436770985,0.65495164,0.65131005,0.65495164,0.003642,1,warm
3.7799999999999834,3.7799999999999834,3.7799999999999834,3.0,3.0,3.0,P1.0,362,10.49,9.934e-07,8.456e-05,2.637206e-02,0.6430263922,0.65419808,0.65087837,0.65419808,0.003320,1,warm
3.789999999999983,3.789999999999983,3.789999999999983,3.0,3.0,3.0,P1.0,501,14.80,9.962e-07,8.331e-05,2.637953e-02,0.6424156098,0.65348555,0.65047805,0.65348555,0.003007,1,warm
3.799999999999983,3.799999999999983,3.799999999999983,3.0,3.0,3.0,A15,800,23.72,5.222e-06,8.728e-05,2.638707e-02,0.6418372228,0.65280588,0.65010305,0.65280588,0.002703,0,warm
3.8099999999999827,3.8099999999999827,3.8099999999999827,3.0,3.0,3.0,P1.0,1462,42.22,9.966e-07,2.959e-05,2.640955e-02,0.6412870526,0.65215461,0.64974602,0.65215461,0.002409,1,warm
