seed_index,rng_seed,amplitude,iterations,converged,residual_inf,max_fr_error,representative_price,representative_posteriors
0,20260429,2.1829177507843227e-07,80,False,0.001806237210163486,0.11652559868932078,0.9902045759410889,0.992478533517;0.985314905052;0.992478533517;0.992478533517
1,20365158,8.098760403841623e-06,80,False,0.0018955121231944982,0.1167397315910508,0.9901876797623488,0.99247260078;0.985309914149;0.99247260078;0.99247260078
2,20469887,1.3960414792821686e-07,80,False,0.002217346475841264,0.11601217847832326,0.9901776802564468,0.992466755294;0.985305995567;0.992466755294;0.992466755294
3,20574616,1.0783371728283116e-05,80,False,0.0018181406880132256,0.11669115454788756,0.9901758642832942,0.992465160236;0.985304383083;0.992465160236;0.992465160236
4,20679345,7.320417440148099e-08,80,False,0.0019622985805947124,0.11657340320486198,0.9901855826140802,0.992471404209;0.98530781479;0.992471404209;0.992471404209
5,20784074,3.138347860974631e-05,80,False,0.0017420473983504048,0.11685572212073847,0.9901754303363688,0.992463718786;0.985308653228;0.992463718786;0.992463718786
6,20888803,9.363414377086868e-07,80,False,0.0029116715457798703,0.11770575519408769,0.9901929120812634,0.992475944026;0.985310337411;0.992475944026;0.992475944026
7,20993532,2.5489373765855373e-06,80,False,0.0016242692918312998,0.11714258707142294,0.9901879225557726,0.992473085143;0.985309634333;0.992473085143;0.992473085143
8,21098261,2.756913194115898e-06,80,False,0.003807025413301801,0.11755918371248142,0.9902108286262747,0.99248411158;0.98530868105;0.99248411158;0.99248411158
9,21202990,2.5724815538804473e-07,80,False,0.0017953075523984285,0.11685980252055539,0.9901916083037247,0.992475869215;0.985309817072;0.992475869215;0.992475869215
10,21307719,2.1534142881947837e-07,80,False,0.0024049436628120757,0.11672628675512553,0.9901883654953869,0.992472018969;0.985300397525;0.992472018969;0.992472018969
11,21412448,5.2156924718302595e-05,80,False,0.0024341976706040436,0.1170467586700622,0.9901842487645133,0.992471816397;0.98530537957;0.992471816397;0.992471816397
12,21517177,4.392228762909352e-08,80,False,0.0023894576858853878,0.11660772909668793,0.9902007137626022,0.992479526423;0.985316249774;0.992479526423;0.992479526423
13,21621906,2.9873655859594427e-07,80,False,0.0017558219667851427,0.11647015053331555,0.9901837406860425,0.992470506366;0.98530705921;0.992470506366;0.992470506366
14,21726635,1.1730600272338668e-06,80,False,0.003481330527793647,0.11663280147640015,0.9901946659310727,0.992476462341;0.985312608318;0.992476462341;0.992476462341
15,21831364,1.4819494623023598e-05,80,False,0.0028009066298946284,0.11713321096737511,0.9901901639195403,0.992472960574;0.985307347809;0.992472960574;0.992472960574
16,21936093,9.619053818437168e-07,80,False,0.0016583457467261864,0.11657796721330108,0.9901898972291939,0.992474215219;0.985309361886;0.992474215219;0.992474215219
17,22040822,1.446804356741281e-06,80,False,0.0016212124030785535,0.11670315541425638,0.9901794858144386,0.992467632141;0.9853064733;0.992467632141;0.992467632141
18,22145551,1.5823741094168652e-05,80,False,0.002590730934394783,0.11630322326568412,0.9901789395701787,0.99246812294;0.985313186607;0.99246812294;0.99246812294
19,22250280,5.21952797102603e-05,80,False,0.0015665929416651611,0.11658919565643072,0.9901950179106583,0.992477108309;0.985311118377;0.992477108309;0.992477108309
