iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,0.0009540250909841896,0.00022001559109630087,0.1691743703869686,0.3
2.0,0.0008275300045010592,0.00021630766440994265,0.1691052573991524,0.3
3.0,0.0005190182804689636,0.00021359124015096764,0.1689220316874226,0.3
4.0,0.0003313906652311349,0.0002114886366365587,0.1684663685153448,0.3
5.0,0.0002170427490244542,0.000209729769925171,0.16768298760472977,0.3
6.0,0.00016144773447679395,0.00020865684039861332,0.16695333674701884,0.3
7.0,0.0001133552080693212,0.00020797641688885538,0.16645594269190878,0.3
8.0,7.92617302990406e-05,0.0002075241828536356,0.1661116329887088,0.3
9.0,5.4948666828202875e-05,0.00020723224275520646,0.1658808129704349,0.3
10.0,3.811330104530608e-05,0.00020703800015209328,0.16572463021194905,0.3
11.0,2.6676821706650422e-05,0.00020690943018331076,0.16561765184041077,0.3
12.0,1.8752422194290297e-05,0.00020682130816584987,0.1655403166642908,0.3
13.0,1.2982751087298183e-05,0.00020676049417966968,0.16548738652651707,0.3
14.0,8.972290305497843e-06,0.0002067149689677361,0.16545239424151725,0.3
15.0,6.195916550488789e-06,0.00020667445174682442,0.16542952370171182,0.3
16.0,4.245107863121156e-06,0.00020664370815193234,0.1654141361248419,0.3
17.0,2.901681113054444e-06,0.0002066211794548023,0.1654039486154908,0.3
18.0,2.003236198588887e-06,0.0002066055099321229,0.16539722407344193,0.3
19.0,1.4029855855968165e-06,0.00020659658364918787,0.16539233145938625,0.3
20.0,9.843591625147141e-07,0.0002065911442179491,0.16538887522430568,0.3
21.0,6.889313718394519e-07,0.0002065880977617507,0.16538643445898682,0.3
22.0,4.731204433783276e-07,0.00020658613788271385,0.16538476266720992,0.3
23.0,3.2469981936511516e-07,0.00020658499790227047,0.16538360053922962,0.3
24.0,2.2095941909494599e-07,0.00020658429290043578,0.16538278665306994,0.3
25.0,1.5001078923493338e-07,0.00020658391793604292,0.1653822000257431,0.3
26.0,1.0169035569163043e-07,0.0002065836912957808,0.1653817830038974,0.3
27.0,6.888259895809767e-08,0.00020658351686719811,0.16538146878978555,0.3
28.0,4.833651784386106e-08,0.00020658335214507328,0.16538123036738117,0.3
29.0,3.54178415484796e-08,0.0002065832355009345,0.16538105917381574,0.3
30.0,2.5364873867950166e-08,0.00020658315264932003,0.16538094172985385,0.3
31.0,1.8199819096231806e-08,0.00020658308512233603,0.16538086436121346,0.3
32.0,1.312148900645127e-08,0.00020658303032883296,0.16538081471165855,0.3
33.0,9.363920250304858e-09,0.00020658299027609406,0.16538078185152694,0.3
34.0,6.6754081706754675e-09,0.00020658295999076426,0.16538075983288447,0.3
35.0,4.796799735196089e-09,0.00020658293715658527,0.16538074484621712,0.3
36.0,3.4733063647429674e-09,0.00020658291925346184,0.16538073481123272,0.3
37.0,2.497943407675507e-09,0.00020658290634811838,0.16538072823873406,0.3
38.0,1.7949304820241707e-09,0.0002065828975121864,0.16538072400781845,0.3
39.0,1.3012670385670333e-09,0.000206582891422058,0.16538072155297434,0.3
40.0,9.357853936187155e-10,0.00020658288692121385,0.16538072000008774,0.3
41.0,6.615356040740039e-10,0.00020658288358887944,0.16538071894015816,0.3
42.0,4.6345699500349724e-10,0.00020658288115804613,0.16538071818761046,0.3
43.0,3.246310442683864e-10,0.0002065828792922053,0.1653807176125771,0.3
44.0,2.2713925185158246e-10,0.00020658287783315021,0.16538071715387448,0.3
45.0,1.5909518147338986e-10,0.00020658287673269715,0.16538071680783473,0.3
46.0,1.117906323067075e-10,0.00020658287592290048,0.1653807165621708,0.3
47.0,7.856043593434947e-11,0.00020658287534669473,0.1653807163933212,0.3
48.0,5.488909327056035e-11,0.0002065828749407972,0.16538071627496997,0.3
49.0,3.814076832142632e-11,0.00020658287465380454,0.16538071619022288,0.3
50.0,2.6363244920446505e-11,0.00020658287445585177,0.16538071612807625,0.3
51.0,1.8114065802876667e-11,0.00020658287432473443,0.16538071608101612,0.3
52.0,1.2356504708321836e-11,0.000206582874232919,0.1653807160423073,0.3
53.0,8.405165452529673e-12,0.00020658287415553644,0.1653807160049633,0.3
54.0,5.743738817898247e-12,0.0002065828740911435,0.165380715971848,0.3
55.0,3.931854841709992e-12,0.0002065828740448472,0.1653807159477857,0.3
56.0,2.6696977961648827e-12,0.00020658287401020825,0.16538071592904402,0.3
57.0,1.785960268563258e-12,0.00020658287398445108,0.16538071591496228,0.3
58.0,1.1837753000065732e-12,0.00020658287396602137,0.16538071590504355,0.3
59.0,7.628342402199451e-13,0.00020658287395336483,0.16538071589808145,0.3
60.0,6.012967901369848e-13,0.00020658287394481611,0.16538071589302794,0.3
61.0,4.5130565951012613e-13,0.00020658287393859887,0.1653807158892715,0.3
62.0,3.2873703759150885e-13,0.00020658287393438002,0.1653807158864702,0.3
63.0,2.349231920106831e-13,0.0002065828739312714,0.16538071588442727,0.3
64.0,1.7108536809473662e-13,0.00020658287392960606,0.16538071588283187,0.3
65.0,1.2290168882600483e-13,0.00020658287392760766,0.1653807158817311,0.3
66.0,8.881784197001252e-14,0.00020658287392694152,0.1653807158809898,0.3
