iteration,residual_inf,revelation_deficit,max_fr_error
1.0,0.3622583319676673,0.050510759503004654,0.36755456190674995
2.0,0.2670024918495738,0.03721957753787686,0.3085176232480711
3.0,0.1988284321611351,0.033098853988386634,0.2548622856638493
4.0,0.15313393784638407,0.03092376859359791,0.2089221043099341
5.0,0.12794033729414178,0.028796852827624675,0.19139268369637125
6.0,0.10535222544697764,0.026266424856286608,0.18293795327089557
7.0,0.0859972834844456,0.02341104795471105,0.17436559345643815
8.0,0.06981128029967038,0.02037582115298564,0.16600107711335765
9.0,0.05646251446017447,0.017221624628278365,0.15801124740828854
10.0,0.04554930821281608,0.014114542345599168,0.1504688676712786
11.0,0.036678925423813014,0.011197211459945677,0.1433928706644475
12.0,0.02949821046507506,0.008596459338147011,0.13677284955247093
13.0,0.023702388030895416,0.0063966443806104945,0.1305836247059769
14.0,0.019299760796426535,0.004627783405890096,0.12479369646704896
15.0,0.018079008761355042,0.0032711472078327253,0.1193699938386425
16.0,0.016965271455639863,0.002275165131651047,0.11428041240195053
17.0,0.015951184440540278,0.0015719569305908676,0.10949505706978846
18.0,0.015027692252984781,0.0010918280268785718,0.10498674939389302
19.0,0.01418543918627757,0.0007732955433844557,0.10073111763800979
20.0,0.01341550495319016,0.0005670188047824931,0.0967064661520528
21.0,0.012709727917875557,0.00043605950309244523,0.09289354777669023
22.0,0.012060816288465337,0.0003542198133363872,0.08927530289015062
23.0,0.011462346982216542,0.0003037006557446986,0.08583659879548566
24.0,0.010908708375437892,0.00027281457119709973,0.08256398628285433
25.0,0.010395018989044436,0.0002540872306651121,0.07944548058614109
26.0,0.009917039803160388,0.00024283043079453837,0.07647036864519308
27.0,0.009471089462405269,0.0002361413564845316,0.07362904180647156
28.0,0.009053966764427379,0.00023223579091014024,0.07091285177714346
29.0,0.00866288208368543,0.00023002026039598,0.06831398715203785
30.0,0.008295397901836421,0.00022882462512352486,0.06582536778148684
31.0,0.007949377870873464,0.00022823767061330713,0.06344055442022478
32.0,0.00762294351019166,0.00022800683960599866,0.06115367136716732
33.0,0.007314437546079577,0.00022797717632039305,0.05895934010334347
34.0,0.007022392931061161,0.00022805403630310472,0.056852622224025096
35.0,0.006745506667031331,0.00022818018233317083,0.05482897022391575
36.0,0.006482617664212154,0.00022832162288244362,0.05288418492465219
37.0,0.006232687978245555,0.00022845880060229362,0.05101437853117863
38.0,0.005994786870525737,0.0002285810817049816,0.049215942470021035
39.0,0.005768077228051782,0.0002286832984921272,0.047485519301605605
40.0,0.005551803957511203,0.00022876357795376112,0.04581997811435223
41.0,0.005345284034504072,0.00022882198037776913,0.044216392904001145
42.0,0.0051478979439716355,0.0002288596499754325,0.04267202352080979
43.0,0.004959082293470862,0.00022887828967321777,0.04118429883276864
44.0,0.0047783234184246015,0.0002288798708590667,0.03975080180724133
45.0,0.004605151829217169,0.00022886649587294805,0.0383692562584762
46.0,0.004439137375200186,0.00022884007571799536,0.037037515045916236
47.0,0.0042798850212997785,0.00022880240359968163,0.035753549539526364
48.0,0.004127031149784854,0.00022875512679221277,0.034515440194591074
49.0,0.003980240313879613,0.0002286997371336863,0.033321368100427184
50.0,0.003839202381228979,0.00022863757238189564,0.032169607386058674
