iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,0.0021165547608443525,0.0001543180914292952,0.14877955532261466,0.3
2.0,0.0017583184950349107,0.00014923017469570254,0.14864267895689642,0.3
3.0,0.001050597355335886,0.00014541923419253422,0.148264004523183,0.3
4.0,0.0006142415363439568,0.00014215101724479595,0.14722110973490798,0.3
5.0,0.0004169227295796052,0.00013917880382374737,0.14516001532111422,0.3
6.0,0.00034380636056008385,0.0001374990950619992,0.14337263911192377,0.3
7.0,0.0002466742133144795,0.00013650557786670792,0.14210639216202559,0.3
8.0,0.00017478019327221705,0.00013586334858373128,0.14120762261765896,0.3
9.0,0.00012288073943322875,0.00013545165930961556,0.14058963708108196,0.3
10.0,8.59852388247484e-05,0.00013516293904913823,0.14016220386114442,0.3
11.0,5.9977070914207786e-05,0.00013497547706353696,0.1398733724435397,0.3
12.0,4.1831676914516613e-05,0.00013484910336969413,0.13968136272956289,0.3
13.0,2.9182973558361525e-05,0.0001347572313367129,0.1395556922917588,0.3
14.0,2.0368222887201526e-05,0.00013468867915022997,0.13947105475843224,0.3
15.0,1.4199149743654438e-05,0.00013462851588696978,0.13941915181735232,0.3
16.0,1.0067080318587607e-05,0.0001345846907788717,0.13938255960423473,0.3
17.0,7.112416721688497e-06,0.00013455718364852043,0.1393540001248642,0.3
18.0,4.9685854112135885e-06,0.00013453976832733527,0.13933349959568253,0.3
19.0,3.4608076523445774e-06,0.00013452965566451702,0.13931891724813272,0.3
20.0,2.3854395028166664e-06,0.00013452267182256783,0.13930896035327212,0.3
21.0,1.6466652558166928e-06,0.00013451753392779153,0.1393022234710226,0.3
22.0,1.1364924333845394e-06,0.00013451385264018345,0.13929761188745615,0.3
23.0,7.844347978958055e-07,0.00013451117790241884,0.1392944341229817,0.3
24.0,5.387351224017678e-07,0.00013450934959402527,0.13929224701446286,0.3
25.0,3.7043076617226944e-07,0.00013450814110604892,0.1392906945360861,0.3
26.0,2.5517315316303524e-07,0.00013450732721387304,0.13928959273171215,0.3
27.0,1.7596075607695383e-07,0.0001345067775735398,0.1392887679473841,0.3
28.0,1.2110459102210314e-07,0.00013450639892109706,0.13928817756879852,0.3
29.0,8.3329614097849e-08,0.00013450613773480224,0.13928774553493417,0.3
30.0,5.724925822292448e-08,0.00013450595853825575,0.1392874420498348,0.3
31.0,3.9287930242437596e-08,0.00013450583508811675,0.13928723229627804,0.3
32.0,2.693012302046327e-08,0.00013450574885931488,0.13928709130650818,0.3
33.0,1.8451384642403923e-08,0.00013450568842299226,0.13928699614013784,0.3
34.0,1.2644086444524305e-08,0.00013450564401673581,0.13928693179516138,0.3
35.0,8.684949981407897e-09,0.00013450561080963208,0.13928688530300692,0.3
36.0,5.981015571698833e-09,0.00013450558336713936,0.13928684697104232,0.3
37.0,4.1395974426094995e-09,0.00013450556299687833,0.13928681813393384,0.3
38.0,2.874375293338005e-09,0.0001345055480835855,0.13928679620888784,0.3
39.0,1.9994983446736114e-09,0.00013450553787441866,0.1392867800699752,0.3
40.0,1.3866696679798451e-09,0.0001345055311886556,0.13928676885100766,0.3
41.0,9.56583812161682e-10,0.00013450552694849183,0.13928676135482354,0.3
42.0,6.555047615819376e-10,0.0001345055242134574,0.13928675626097264,0.3
43.0,4.476122805741056e-10,0.00013450552222438183,0.13928675259047052,0.3
44.0,3.079984045584183e-10,0.00013450552076144096,0.13928674998961732,0.3
45.0,2.1290758045466873e-10,0.00013450551964844237,0.1392867481121961,0.3
46.0,1.4848622331697925e-10,0.00013450551884774953,0.1392867467622385,0.3
47.0,1.0391432159195801e-10,0.00013450551828486645,0.1392867457862479,0.3
48.0,7.2800321326838e-11,0.00013450551791582832,0.1392867450987566,0.3
49.0,5.078015785642265e-11,0.0001345055176982246,0.13928674462974955,0.3
50.0,3.5140335086225605e-11,0.00013450551756899465,0.13928674430676768,0.3
51.0,2.4327539982493818e-11,0.00013450551748273032,0.13928674408368868,0.3
52.0,1.6888379583690494e-11,0.00013450551742522077,0.13928674393435114,0.3
53.0,1.1730616478189404e-11,0.00013450551738425354,0.1392867438382389,0.3
54.0,8.084422020715465e-12,0.00013450551735483263,0.13928674377139527,0.3
55.0,5.536904268410581e-12,0.00013450551733351634,0.13928674372252592,0.3
56.0,3.770872503139344e-12,0.00013450551731974958,0.13928674368818006,0.3
57.0,2.55262477821816e-12,0.00013450551731175597,0.1392867436649169,0.3
58.0,1.715960706860642e-12,0.00013450551730620486,0.13928674364898608,0.3
59.0,1.1536327448880002e-12,0.0001345055173024301,0.1392867436379318,0.3
60.0,7.825962100582728e-13,0.00013450551729909943,0.1392867436305919,0.3
61.0,5.387912338505885e-13,0.00013450551729676796,0.13928674362591986,0.3
62.0,3.665956427312267e-13,0.00013450551729476956,0.13928674362307858,0.3
63.0,2.559064071760986e-13,0.0001345055172929932,0.13928674362115512,0.3
64.0,1.8524071165870737e-13,0.00013450551729154991,0.1392867436198546,0.3
65.0,1.393885007416884e-13,0.00013450551728988458,0.13928674361897253,0.3
66.0,1.0963452368173421e-13,0.00013450551728932947,0.13928674361833726,0.3
67.0,8.83182416089312e-14,0.0001345055172885523,0.1392867436178804,0.3
68.0,7.127631818093505e-14,0.0001345055172879972,0.1392867436175761,0.3
