iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,0.0006292652792737607,0.0002056824201942531,0.16538099565882214,0.3
2.0,0.0005446027598124681,0.0002034219706498197,0.16533499862197287,0.3
3.0,0.00034028764198110184,0.00020175970604663362,0.16521287025778564,0.3
4.0,0.00021133462508393652,0.0002004584837705936,0.16490609632115527,0.3
5.0,0.00013814623652752545,0.00019934751445926935,0.16436074185788685,0.3
6.0,0.00010884520707321599,0.00019868518778909383,0.1638623638148915,0.3
7.0,7.642886091341339e-05,0.00019826006282164244,0.16352107108654923,0.3
8.0,5.3434768808036104e-05,0.0001979783396744983,0.16328554057136102,0.3
9.0,3.712310111125827e-05,0.00019779626081906088,0.1631272474267801,0.3
10.0,2.5794357582653582e-05,0.00019767607883769411,0.16302008651025435,0.3
11.0,1.804061526078371e-05,0.00019759488675075154,0.16294638298839115,0.3
12.0,1.2717722150390465e-05,0.00019753704513603143,0.16289442688114564,0.3
13.0,9.022389517832075e-06,0.00019749617299624767,0.16285940225010698,0.3
14.0,6.441496444686834e-06,0.00019746594840086562,0.16283580750445503,0.3
15.0,4.567530768273542e-06,0.00019744299992929815,0.16281967506473338,0.3
16.0,3.1606022241614795e-06,0.00019742628204233448,0.16280921853034114,0.3
17.0,2.1412636541651153e-06,0.00019741490296465436,0.16280226683931454,0.3
18.0,1.4545058556469925e-06,0.00019740712802629456,0.16279751549225296,0.3
19.0,1.003489622397602e-06,0.00019740189423622656,0.16279416723887508,0.3
20.0,6.933637030082096e-07,0.000197398541073035,0.16279181247316732,0.3
21.0,4.7163476335487786e-07,0.00019739631855364426,0.16279021417891182,0.3
22.0,3.202989437012249e-07,0.00019739486959990948,0.16278912364409037,0.3
23.0,2.1761852675439286e-07,0.0001973939013902859,0.16278834459414904,0.3
24.0,1.4665722680717863e-07,0.0001973932496717179,0.16278780352663424,0.3
25.0,9.866583561279896e-08,0.00019739281641584228,0.16278742172877025,0.3
26.0,7.444481808782655e-08,0.0001973925028200263,0.16278714500635316,0.3
27.0,5.367708050263431e-08,0.00019739225443693442,0.16278693846135373,0.3
28.0,3.7733854540977774e-08,0.00019739206473823323,0.16278679300640475,0.3
29.0,2.6390962193367784e-08,0.00019739190867706924,0.16278669151009995,0.3
30.0,1.8236039900365597e-08,0.00019739178739475172,0.16278662116924258,0.3
31.0,1.2674076288465841e-08,0.0001973916939694842,0.16278657289785248,0.3
32.0,9.041706550139139e-09,0.00019739162463083826,0.16278654101446122,0.3
33.0,6.6392197295428446e-09,0.00019739156803055824,0.16278652192173626,0.3
34.0,4.918121798702657e-09,0.00019739151428865842,0.16278651155525636,0.3
35.0,3.5490063665655214e-09,0.00019739147227626486,0.16278650501340353,0.3
36.0,2.5328810715485872e-09,0.00019739143959285332,0.16278650104876602,0.3
37.0,1.755492196053865e-09,0.00019739141554464545,0.16278649858988903,0.3
38.0,1.203497412838317e-09,0.0001973913977683095,0.16278649715439586,0.3
