iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,0.048055562460802115,0.00174157376953743,0.1668446032495816,0.12
2.0,0.042844064927701986,0.001275187749953277,0.1671029527086051,0.12
3.0,0.03398043863774022,0.0009417057924494543,0.16715673854859353,0.12
4.0,0.02685542456729051,0.0007045923596018522,0.16706207122069833,0.12
5.0,0.021193504192638823,0.000533356422120046,0.1668521828964713,0.12
6.0,0.01672151698013985,0.0004113273511408,0.1666177201279438,0.12
7.0,0.013207392604238893,0.0003225701775801948,0.1663445120568347,0.12
8.0,0.010456644398666781,0.00025703721545322633,0.166031808031476,0.12
9.0,0.008316007780033552,0.0002077345712528933,0.1656815910445471,0.12
10.0,0.006635574741120309,0.0001728983033485454,0.16535153198970598,0.12
11.0,0.00531751745079817,0.00014682364971563278,0.16500609766544722,0.12
12.0,0.004359105129062707,0.0001274866175370315,0.1646652648551149,0.12
13.0,0.003726753053463913,0.00011339768670470818,0.16435918638577468,0.12
14.0,0.003233694527316963,0.00010231921301806501,0.16403033745384732,0.12
15.0,0.0028261161869480717,9.292615512612734e-05,0.16360905309855683,0.12
16.0,0.0024810616970987465,8.592160749532063e-05,0.16318568161213154,0.12
17.0,0.0022456779764601364,8.092032271356242e-05,0.16283138654145224,0.12
18.0,0.0021143831147353576,7.6871741928497e-05,0.16245346091337376,0.12
19.0,0.0021279635969541078,7.408810030051782e-05,0.16216530304314192,0.12
20.0,0.002024314276341921,7.198332576785482e-05,0.1618973461743552,0.12
21.0,0.001938638695791639,7.038816651216973e-05,0.1616451795320411,0.12
22.0,0.0018668029599131497,6.918051525039992e-05,0.16141415743281956,0.12
23.0,0.0018067039994600353,6.82458623707527e-05,0.1611874485838347,0.12
24.0,0.0017507156628984166,6.748632154951473e-05,0.16095060857309434,0.12
