iteration,residual_inf,revelation_deficit,max_fr_error
1.0,0.3245210781399336,0.0350959663688416,0.33894027349769706
2.0,0.23749660094305358,0.033154435492971146,0.29475109535676525
3.0,0.17624121060720632,0.03400516207486459,0.2516071030860826
4.0,0.13211054133437547,0.033687569900165526,0.21230661567900425
5.0,0.11511800241219128,0.0319775290875719,0.19370277922565454
6.0,0.09895332510333765,0.02926336859224765,0.18718640759241706
7.0,0.08379262893805356,0.025952895563566503,0.17973011454766336
8.0,0.07018700200368233,0.022370886096743647,0.17193086117246903
9.0,0.058309783132995285,0.01876611609382628,0.16414038906740236
10.0,0.04813689321006753,0.015329990670011284,0.15655914738134097
11.0,0.0395442203547588,0.01220363380457945,0.14929435617989906
12.0,0.03236252235578552,0.00947758723699621,0.1423962509874146
13.0,0.026408926677759514,0.007192928346006711,0.1358808061511057
14.0,0.02150475237401217,0.005347786401091237,0.12974397696288953
15.0,0.01924464573921575,0.0039094728382631505,0.12397058324112481
16.0,0.01810261867582974,0.0028220624958678053,0.11853979763837597
17.0,0.017037681556490047,0.0020222661467499403,0.113428493171429
18.0,0.016050955237430997,0.0014486288445898499,0.10861320660019974
19.0,0.01513984916308786,0.001047000565792433,0.10407125185127342
20.0,0.014299819860084162,0.0007725305520447368,0.09978130589324818
21.0,0.013525444904109285,0.0005894784787771057,0.0957236724220154
22.0,0.01281106295810025,0.000470184129759299,0.09188035353458535
23.0,0.012151140779745495,0.0003939164596545863,0.08823501130066169
24.0,0.011540470306180495,0.00034368081345903523,0.08477287020880753
25.0,0.010974261654445205,0.00031441532289155916,0.08148059171247396
26.0,0.01044817384774066,0.00029574805323728803,0.07834613955815184
27.0,0.009958309609652105,0.0002835521646874506,0.07535864667525627
28.0,0.009501190639679635,0.0002752961441929713,0.07250828948335242
29.0,0.009073723437042214,0.0002694533283602585,0.06978617245223973
30.0,0.00867316170716953,0.0002651099154543646,0.06718422394008888
31.0,0.008297068843661659,0.000261718641601405,0.06469510328699046
32.0,0.007943282394377194,0.0002589495119897922,0.062312118568677355
33.0,0.007609881448374434,0.00025660124292226083,0.0600291541341651
34.0,0.007295157297528387,0.00025454921313150525,0.05784060694490656
35.0,0.0069975873889443485,0.00025271489030465055,0.05574133072822329
36.0,0.006715812399379961,0.00025104777129036915,0.05372658700840938
37.0,0.006448616171715049,0.0002495146124850134,0.05179200215689489
38.0,0.006194908218497941,0.00024809293352878736,0.04993352969134557
39.0,0.005953708495107679,0.0002467670514644249,0.04814741714281323
40.0,0.005724134160371042,0.0002455256317244192,0.04643017689470197
41.0,0.005505388066499695,0.00024436015998707816,0.04477856047475204
42.0,0.005296748747613378,0.00024326399041796343,0.04318953585046803
43.0,0.005097561703713116,0.00024223184771299255,0.04166026733935413
44.0,0.00490723180311925,0.00024125916186901186,0.040188097798418365
45.0,0.0047252166502524395,0.0002403419709199328,0.03877053280334275
46.0,0.0045510207866670815,0.0002394767577379442,0.037405226567342686
47.0,0.004384190612199912,0.00023866034314712348,0.03608996938368281
48.0,0.004224309928950287,0.0002378898150743325,0.0348226764049977
49.0,0.00407099602477079,0.0002371624808169548,0.03360137759756654
50.0,0.003923896224820311,0.0002364758341506512,0.03242420873012053
51.0,0.003782684849895801,0.00023582753201678575,0.03128940327515184
52.0,0.003647060528899959,0.00023521537737947185,0.03019528511648184
53.0,0.003516743820174306,0.00023463730611106293,0.029140261970429626
54.0,0.003391475102699326,0.00023409137651375644,0.028319701151122367
55.0,0.0032710127035075476,0.00023357576060234475,0.028284000017239214
56.0,0.0031551312322207203,0.0002330887365903367,0.028251407168410986
57.0,0.003043620097506583,0.00023262868222628796,0.02822166074905122
58.0,0.0029362821835918207,0.0002321940687530777,0.028194520438037843
59.0,0.002832932667813426,0.00023178345535945777,0.028169765742440442
60.0,0.002733397962645878,0.00023139548401629462,0.028147194412414492
61.0,0.0026375147677482613,0.00023102887465409339,0.028126620972126537
62.0,0.0025451292193914288,0.00023068242064239186,0.028107875360862206
63.0,0.002456096126195295,0.00023035498452605996,0.02809080167806778
64.0,0.0023702782814618573,0.00023004549402061425,0.028075257025907407
65.0,0.0022875458435732132,0.0002297529382355723,0.028061110442919063
66.0,0.002207775776939036,0.00022947636412196104,0.028048241922475403
67.0,0.0021308513468767942,0.00022921487311555744,0.028036541509963125
68.0,0.002056661662577952,0.00022896761798785192,0.028025908472859837
69.0,0.0019851012629999443,0.00022873379987486953,0.028016250538187404
70.0,0.0019160697411088612,0.00022851266548007398,0.02800748319214061
71.0,0.0018494714024306913,0.00022830350444180691,0.02799952903701783
72.0,0.0017852149543142182,0.0002281056468567133,0.02799231720090703
73.0,0.0017232132227215646,0.00022791846094871726,0.027985782795900332
74.0,0.001663382893710541,0.00022774135087266778,0.02797986642091846
75.0,0.001605644277090923,0.00022757375464843577,0.02797451370552126
76.0,0.0015499210900052351,0.00022741514221802372,0.027969674891358626
77.0,0.0014961402584405814,0.00022726501361103324,0.027965304448178352
78.0,0.0014442317348820621,0.0002271228972229311,0.027961360721552198
79.0,0.001394128330520772,0.0002269883481875734,0.027957805609709438
80.0,0.0013457655605891294,0.0002268609468524252,0.027954604267078867
81.0,0.0012990815015572754,0.00022674029733271706,0.02795172483233578
82.0,0.001254016659053503,0.00022662602615619587,0.027949138178931535
83.0,0.0012105138454868158,0.0002265177809808172,0.027946817686249376
84.0,0.001168518066468005,0.00022641522939315095,0.027944739029683932
85.0,0.0011279764152068994,0.0002263180577674051,0.02794287998808244
86.0,0.0010888379741573195,0.00022622597019517077,0.027941220267115083
87.0,0.0010510537232518158,0.00022613868747722865,0.027939741337260682
88.0,0.0010145764541383828,0.0002260559461680911,0.02793842628520285
89.0,0.000979360689887132,0.00022597749768060726,0.027937259677531384
90.0,0.0009453626096951329,0.00022590310743830777,0.027936227435735594
91.0,0.0009125399781576005,0.00022583255407493397,0.027935316721559578
92.0,0.000880852078722627,0.00022576562868703576,0.027934515831866708
93.0,0.0008502596509837312,0.00022570213411665652,0.027933814102231072
94.0,0.0008207248314942017,0.00022564188428819687,0.027933201818537895
95.0,0.0007922110978264008,0.00022558470357458837,0.02793267013593416
96.0,0.0007646832156171235,0.00022553042619966046,0.027932211004525115
97.0,0.0007381071883734158,0.00022547889568158563,0.027931817101261885
98.0,0.0007124502098274088,0.0002254299643008606,0.027931481767510938
99.0,0.0006876806186561502,0.0002253834925968201,0.027931198951837988
100.0,0.0006637678553944593,0.00022533934890389684,0.027930963157577426
101.0,0.0006406824213844864,0.0002252974089053117,0.02793076939479311
102.0,0.000618395839627417,0.00022525755521296542,0.027930613136269142
103.0,0.0005968806174057595,0.00022521967697453071,0.027930490277198405
104.0,0.0005761102105602545,0.00022518366950008417,0.027930397098263837
105.0,0.0005560589893207069,0.00022514943391183095,0.02793033023183311
106.0,0.0005367022055892678,0.00022511687681436854,0.027930286631008383
107.0,0.0005180159615913449,0.00022508590997971645,0.02793026354129713
108.0,0.0004999771798141484,0.0002250564500568819,0.027930258474684222
109.0,0.0004825635741567136,0.00022502841829397102,0.027930269185910128
110.0,0.0004657536222273939,0.00022500174027462183,0.02793029365076849
111.0,0.0004495265387242098,0.00022497634567497649,0.02793033004625814
112.0,0.00043386224984226507,0.00022495216802853601,0.027930376732434314
113.0,0.00041874136865382994,0.0002249291445094448,0.027930432235817426
114.0,0.0004041451714155153,0.00022490721572587802,0.02793049523423001
115.0,0.0003900555747554657,0.00022488632552486454,0.027930564542942293
116.0,0.0003764551136963279,0.00022486642081021024,0.027930639102017013
117.0,0.0003633269204821876,0.00022484745136963635,0.027930717964752952
118.0,0.0003506547041652319,0.00022482936970813494,0.027930800287134988
119.0,0.00033842273092471453,0.00022481213090208563,0.027930885318206033
120.0,0.0003266158050823642,0.00022479569244893138,0.02793097239128313
121.0,0.00031521925078698,0.0002247800141311762,0.02793106091594645
122.0,0.00030421889434173455,0.00022476505789104095,0.027931150370735763
123.0,0.00029360104714326596,0.00022475078770578527,0.027931240296494478
124.0,0.0002833524892144057,0.00022473716947668532,0.027931330290306075
125.0,0.0002734604533015661,0.0002247241709187886,0.02793141999997263
126.0,0.00026391260952057793,0.0002247117614628813,0.027931509118988895
127.0,0.0002546970505234447,0.00022469991215412488,0.027931597381969833
128.0,0.00024580227717452274,0.00022468859556890042,0.027931684560492248
129.0,0.00023721718470920417,0.0002246777857248805,0.027931770459315303
130.0,0.00022893104936455577,0.00022466745800386878,0.027931854912946946
131.0,0.00022093351546009776,0.00022465758907352917,0.027931937782526298
132.0,0.00021321458291445605,0.00022464815681921824,0.027932018952994686
133.0,0.00020576459518295565,0.00022463914027448517,0.027932098330530147
134.0,0.00019857422760116705,0.00022463051955934343,0.027932175840222145
135.0,0.00019163447611897366,0.0002246222758208738,0.02793225142396588
136.0,0.00018493664641261454,0.0002246143911742715,0.027932325038556305
137.0,0.00017847234336448858,0.00022460684865288627,0.027932396653964756
138.0,0.00017223346089251246,0.00022459963215615275,0.027932466251781474
139.0,0.00016621217212087203,0.00022459272640540373,0.02793253382380978
140.0,0.0001604009198830636,0.00022458611689479824,0.02793259937079784
141.0,0.00015479240753774048,0.00022457978985268578,0.0279326629012957
142.0,0.00014937959009814206,0.00022457373220119425,0.027932724430627442
143.0,0.0001441556656542886,0.00022456793151925947,0.027932783979965348
144.0,0.00013911406708483343,0.0002245623760048776,0.027932841575500578
145.0,0.0001342484540466926,0.00022455705444734964,0.027932897247697208
146.0,0.00012955270523246076,0.00022455195618809043,0.027932951030626207
147.0,0.00012502091088884004,0.00022454707109875738,0.02793300296136858
148.0,0.00012064736558475841,0.0002245423895484988,0.02793305307948335
149.0,0.00011642656122484718,0.00022453790237753068,0.027933101426532603
150.0,0.00011235318029567676,0.00022453360087637542,0.027933148045660272
151.0,0.00010842208933908859,0.00022452947675744017,0.02793319298121777
152.0,0.00010462833264807125,0.00022452552213447774,0.027933236278432583
