iteration,residual_inf,revelation_deficit,max_fr_error
1.0,6.857574924579168e-11,0.00022148580071634782,0.1691740687353782
2.0,6.781821978996128e-11,0.0002214858025033628,0.16917406888037279
3.0,5.2419586032970145e-11,0.00022148580406555762,0.1691740690374387
4.0,3.91056735604689e-11,0.0002214858053707358,0.16917406917894606
5.0,2.888806902023866e-11,0.00022148580634673287,0.16917406929481782
6.0,2.1320969295635095e-11,0.00022148580707048726,0.16917406938480717
7.0,1.5842133160859362e-11,0.0002214858076337034,0.1691740694518905
8.0,1.1814098310747312e-11,0.00022148580805347873,0.16917406950123937
9.0,8.824479341695834e-12,0.00022148580837277887,0.16917406953724978
10.0,6.599418927999423e-12,0.00022148580861947043,0.16917406956279524
11.0,4.938827125045009e-12,0.00022148580880521074,0.16917406958121262
12.0,3.714330926163356e-12,0.00022148580894565395,0.16917406959419146
13.0,2.819411371035585e-12,0.00022148580905156923,0.1691740696033882
14.0,2.1571980313161987e-12,0.00022148580913627924,0.16917406960910586
15.0,1.6396779767280378e-12,0.0002214858092032257,0.16917406961252945
16.0,1.2385752146126805e-12,0.0002214858092550731,0.16917406961483195
17.0,9.29180343778313e-13,0.00022148580929248762,0.1691740696165689
