iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,6.952945164062641e-13,0.0002214858092938199,0.1691740696166537,0.25
2.0,6.875333635747438e-13,0.00022148580931302675,0.16917406961796988,0.25
3.0,5.614744780224612e-13,0.00022148580933045725,0.1691740696190399,0.25
4.0,4.530195663043912e-13,0.0002214858093471106,0.16917406961975,0.25
5.0,3.554205540989841e-13,0.00022148580935932305,0.16917406962024228,0.25
6.0,2.7649410538899133e-13,0.00022148580936975915,0.16917406962057668,0.25
7.0,2.1299975672128824e-13,0.00022148580937730866,0.16917406962079762,0.25
8.0,1.62606039744162e-13,0.0002214858093834149,0.16917406962092618,0.25
9.0,1.2206902155753596e-13,0.00022148580938807783,0.16917406962101,0.25
10.0,9.098971576193549e-14,0.00022148580939118645,0.16917406962106873,0.25
11.0,6.76229905405279e-14,0.0002214858093934069,0.1691740696211107,0.25
12.0,5.024106131124029e-14,0.00022148580939529428,0.16917406962114057,0.25
13.0,3.7404107589011915e-14,0.00022148580939662654,0.16917406962116155,0.25
14.0,2.782843400161994e-14,0.00022148580939773677,0.1691740696211772,0.25
15.0,2.0761170560490427e-14,0.00022148580939829188,0.1691740696211883,0.25
16.0,1.553271400389633e-14,0.000221485809398958,0.1691740696211962,0.25
17.0,1.1660811205516097e-14,0.000221485809398958,0.1691740696212023,0.25
18.0,8.808925811010226e-15,0.00022148580939929108,0.16917406962120662,0.25
