iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,0.0012831423226093708,0.00022344449518152398,0.16917364489522346,0.3
2.0,0.0011390935400903135,0.00022929958685502516,0.16927923154720015,0.3
3.0,0.000734456043815529,0.0002339136274416287,0.16956385892216774,0.3
4.0,0.0004929551917634001,0.0002376015142542265,0.17024077139781035,0.3
5.0,0.0003348386796201419,0.000240914424070926,0.17134939463696586,0.3
6.0,0.00024136802266738755,0.00024291470682302752,0.1723718729535635,0.3
7.0,0.00017167320750621773,0.0002442496547809814,0.1730853422148212,0.3
8.0,0.00011914489706210674,0.00024507498039572084,0.1735529599446023,0.3
9.0,8.281087326134084e-05,0.00024561509624443367,0.17387363779896403,0.3
10.0,5.733709785771257e-05,0.0002459676682855516,0.17408826794341237,0.3
11.0,4.009419241057799e-05,0.0002462369723693625,0.17424685693743536,0.3
12.0,2.825235521919378e-05,0.00024641291402782706,0.1743518565201927,0.3
13.0,2.0343426304303414e-05,0.0002465362089900669,0.17442382285889735,0.3
14.0,1.4759466627434215e-05,0.0002466319204562639,0.17447410631944205,0.3
15.0,1.0319760770260977e-05,0.00024670109566393705,0.17450937804936328,0.3
16.0,7.103110209905061e-06,0.0002467517682895881,0.17453276497865267,0.3
17.0,4.835697160365804e-06,0.00024678804157440837,0.17454846304789406,0.3
18.0,3.2937244841546587e-06,0.000246814429292308,0.17455927550098138,0.3
19.0,2.2690408352232794e-06,0.00024683231690192375,0.1745667494220765,0.3
20.0,1.5650799226607504e-06,0.0002468436802924856,0.1745719849648465,0.3
21.0,1.0787275946944064e-06,0.00024685019039305534,0.17457568451457584,0.3
22.0,7.410417320885543e-07,0.0002468534426481872,0.17457823149405416,0.3
23.0,5.041184732990089e-07,0.0002468554273363788,0.17457995861757825,0.3
24.0,3.4083447342236894e-07,0.00024685667291723945,0.17458113937414976,0.3
25.0,2.2909716834718097e-07,0.00024685738184426764,0.17458200603045337,0.3
26.0,1.6335009805912293e-07,0.00024685782065547723,0.17458260941041048,0.3
