iteration,residual_inf,revelation_deficit,max_fr_error
1.0,0.06284428690094379,0.004282551298964821,0.1398544107842199
2.0,0.06087974046213637,0.004063966281353415,0.22569910519366054
3.0,0.03028767226291873,0.0021704936181689005,0.23896605719613095
4.0,0.02981652746743102,0.0024216524434189646,0.2538127985878894
5.0,0.02795593024888321,0.010043105169722955,0.3016208374344406
6.0,0.020970857850847513,0.022105924228334795,0.27883970723662477
7.0,0.016845327586109238,0.02569813324067216,0.27575200217353923
8.0,0.016713558089891722,0.025483238280240905,0.24144302787286442
9.0,0.015669013584038605,0.026087184653047713,0.37854702957857855
10.0,0.00962787071534249,0.019705772336136462,0.4536144674204837
11.0,0.008443868130026844,0.01889931007929435,0.4486005329890999
12.0,0.007926496289168306,0.01860646769387453,0.4458223387990447
