iteration,residual_inf,revelation_deficit,max_fr_error
1.0,0.06512453398670817,0.006321738341687033,0.2758607160700418
2.0,0.052089079335043975,0.003534714767524205,0.2787441034901391
3.0,0.03310588169415046,0.0019528893974226635,0.2747028703784816
4.0,0.02055237729899964,0.001110653480628998,0.26871996181626123
5.0,0.013073283694080784,0.0006599777395988049,0.26254568644984844
6.0,0.00968223484962083,0.0004267352566009741,0.25721145571543047
7.0,0.009503277402848759,0.0003038918708182514,0.25277496955638457
8.0,0.011445081064707624,0.00023831788849837388,0.24922220110565663
9.0,0.010670926779572737,0.00019774944773143233,0.24532920787072932
10.0,0.009639774410875324,0.00017502233440269688,0.23990770523387805
11.0,0.007931188847979609,0.00017024159105138992,0.23463016846855544
12.0,0.006243677461708896,0.0001721964949483734,0.2303301017215279
13.0,0.004852004013175204,0.00018317486054097998,0.22583307608311187
14.0,0.0034828766468157357,0.00020074655284185727,0.22174525464513006
15.0,0.002914093310393495,0.00021945144006274564,0.2184648899649696
16.0,0.0027665368465500384,0.0002415176821626286,0.21533371932877077
17.0,0.0026462328177665473,0.000273174490412198,0.21136701072294817
18.0,0.002582155300750455,0.00031143601464178605,0.20674115677379645
19.0,0.007492308638371248,0.00034099740063120443,0.20363423012651982
20.0,0.007115932472646858,0.0003645817348283398,0.20120026266001423
21.0,0.006810167312640059,0.0003833961829515786,0.1990722106869478
22.0,0.006528576027457322,0.0003950433335232484,0.19749833483191237
23.0,0.006299248602798346,0.00039644513476377874,0.19674807945967399
24.0,0.006124319035650305,0.0004229266729296466,0.19009069271223278
25.0,0.004750391856359948,0.00043091946517981317,0.18532639702417597
26.0,0.0037083876224031642,0.000437893579721238,0.1802469090132004
27.0,0.0027848051922021444,0.0004433512692176844,0.17450802441567925
28.0,0.00234122836433015,0.00044625754540283946,0.16919335284428316
29.0,0.0022851966504356946,0.0004530436715931563,0.16528616822477593
30.0,0.0022656157850056147,0.00045419571399063496,0.1615777477908823
31.0,0.0022445964757479286,0.0004542802824547554,0.15796371672454856
32.0,0.0022354016002966715,0.00046032969250942024,0.1533951489087112
33.0,0.0019577475468719463,0.0004600151621626525,0.15035209636375724
34.0,0.0018218352353350786,0.00046305154943215854,0.14802566961301666
35.0,0.0017329143671752645,0.0004585805748338334,0.1452052423872705
36.0,0.002462959565388112,0.0004603545593002689,0.14300350472885004
37.0,0.00230403832206294,0.00046092048363466365,0.1424322763368997
38.0,0.0023154114197067033,0.0004627914214472284,0.14174571090164667
39.0,0.0023045699853818657,0.0004607546263020179,0.14422079209479421
40.0,0.002510735773057271,0.00045961570152797115,0.14682767878705427
41.0,0.002738002199606404,0.00046822463805928916,0.14226310596180491
42.0,0.0024259201045653267,0.00047338902827187557,0.13643261650399274
43.0,0.0020731228587693717,0.00047712329820348565,0.13147890862867984
44.0,0.0017979044390404875,0.00048002786618983606,0.127398572965445
45.0,0.0015902488652855817,0.000483641944122315,0.12271441782298154
46.0,0.0014074164816872958,0.0004891151019128515,0.11740523770921896
47.0,0.0012707481446863067,0.0004928055261377295,0.11302167075557601
48.0,0.0012310756952759183,0.000494926159114617,0.10979855684471329
49.0,0.0012313493677290621,0.0004949020077771316,0.10563873871687846
50.0,0.001076113496684461,0.0004939912333825625,0.10074121484315168
51.0,0.0009636498122912451,0.0004930903877733428,0.1003587012499143
52.0,0.0010577149607803316,0.0004935951359106294,0.09992338825673797
53.0,0.0010441689266941223,0.0004933268953288827,0.09969699054389125
54.0,0.001018255942550228,0.0004933291022916064,0.0995223632779304
55.0,0.0009742552402585147,0.0004938301795893718,0.09936606291644778
56.0,0.0008907424190777169,0.0004940803032574825,0.09957544609255398
57.0,0.0009414048020737198,0.0004952268006481741,0.09967154304273407
58.0,0.0009909156595301338,0.0004978583202075448,0.09966251425471906
59.0,0.0009442094997450523,0.0004993036421213626,0.09964533298399403
60.0,0.0008517865540174085,0.0004994814438546991,0.09960523723337034
61.0,0.0006698312816624252,0.000499138253132636,0.09961137484017668
62.0,0.0005859104531633075,0.0004988957959338736,0.09961695410354765
63.0,0.0005728930186072456,0.0004983835199031672,0.0996376627976342
64.0,0.0005616498739218212,0.0004979025701704609,0.09962211705821755
65.0,0.0005714224449309135,0.0004978035075288156,0.09959507351024888
66.0,0.0005838974670471231,0.0004975085819622915,0.09960750404742436
67.0,0.0005827357909865549,0.000497151415202457,0.09961084163755551
68.0,0.0005865326415744887,0.0004967494007769302,0.09962006997253381
69.0,0.0005877799308645626,0.0004955768510190861,0.09965122806891435
70.0,0.0005863059184626485,0.0004958294466002044,0.09965714168009743
