iteration,residual_inf,max_fr_error
1.0,0.07748833676301892,0.22155656261693837
2.0,0.0726607043441228,0.1861570379775245
3.0,0.06288587834482004,0.2041486316290697
4.0,0.047568153439796174,0.2359904461780028
5.0,0.040080038515409366,0.22745072879964434
6.0,0.04215415808126877,0.24074901135027693
7.0,0.037925656404750874,0.24777810528951477
8.0,0.03597512878025361,0.2435559705289841
9.0,0.03859166894721838,0.2619446276265543
10.0,0.03280075396889276,0.2794398033693036
11.0,0.027033986521757092,0.29229529308455404
12.0,0.022388087938989776,0.3023660489032646
13.0,0.018694000017347168,0.30970016620415225
14.0,0.01594077760837931,0.3138884333956154
15.0,0.01474352636839471,0.31836855155466015
16.0,0.014669646714632778,0.3196761944247397
17.0,0.014627474097373805,0.3175518752663515
18.0,0.014323056083730523,0.3159704414994047
19.0,0.014492665179387076,0.3151906694773666
20.0,0.013776640592567169,0.3143335676372462
21.0,0.0139289726967321,0.3134960146917042
22.0,0.014966045835294262,0.3129230457371013
23.0,0.015581885697930509,0.3125876201479444
24.0,0.014934345525781212,0.312687087988722
25.0,0.014406856036275117,0.3131249609973501
26.0,0.013924522673591233,0.3133048318739774
27.0,0.01409351139729087,0.3137317753907894
28.0,0.012325200690082472,0.31401795516424746
29.0,0.010467066473203168,0.31388076853608554
30.0,0.009807267216673243,0.31376437724476675
31.0,0.008671449926706432,0.31368962203969303
32.0,0.008218134869719562,0.3136564403658
33.0,0.00783361810191463,0.31360128616119637
34.0,0.0076828700682892714,0.31359381442332557
35.0,0.007533763654838821,0.31353601847708096
36.0,0.007605786934773873,0.31363040997129177
37.0,0.007374287777814681,0.31374008195960157
38.0,0.007136134652755088,0.3138389067717209
39.0,0.007009151168752559,0.31394308872773813
40.0,0.007297302803103256,0.3140378607966105
41.0,0.007142542885065106,0.314041134806195
42.0,0.006620031081864708,0.3139851991108346
43.0,0.006286948659884883,0.31386055552320624
44.0,0.006658960907424349,0.31375843324864783
45.0,0.006114711893918767,0.3136770279761372
46.0,0.01798619996209155,0.3135998827892179
47.0,0.01798619996209155,0.31354544710004906
48.0,0.01798619996209155,0.31356211726476824
49.0,0.005868773144512951,0.31354020139247624
50.0,0.005988500376648553,0.31351673808746217
51.0,0.006141346343252696,0.3135062496133382
52.0,0.006197202252047229,0.31349567927940397
53.0,0.006161051367468251,0.3134880436037659
54.0,0.006104149825792993,0.31348513386467747
55.0,0.006064358397861902,0.3134802404839946
