iteration,residual_inf,max_fr_error
1.0,0.3475832092542117,0.4254681870518846
2.0,0.2670675995095433,0.2795366758106257
3.0,0.1719903890881168,0.2206746590968869
4.0,0.10170404825572266,0.19098766890468635
5.0,0.057672084620838615,0.16926436592248337
6.0,0.03532186372409862,0.1620450032823757
7.0,0.030630378011229253,0.15429153716463495
8.0,0.028654540796174605,0.14617833987433582
9.0,0.027245067945689677,0.14227192225945173
10.0,0.025654009654396126,0.13868712350807666
11.0,0.02474190266327811,0.12876402010256105
12.0,0.020953444153540834,0.11939904420269687
13.0,0.014986266427636674,0.1115256623356381
14.0,0.009782114811094367,0.11454409447417269
15.0,0.006414360307582495,0.11394559106802915
16.0,0.005123676744201,0.11387568656303781
17.0,0.0036470586447504283,0.11314322345660544
18.0,0.003015450493934424,0.11413294603247048
19.0,0.0022919596969367406,0.11460890179502203
20.0,0.0023158161372506536,0.114540458918998
21.0,0.004020162706066345,0.11437906796159969
22.0,0.0046926380852842856,0.11426304893683625
23.0,0.005285215010957689,0.11493784498387238
24.0,0.003740563294746306,0.1153265276623898
25.0,0.0015103206257724988,0.11536414514074633
26.0,0.0015271005363110546,0.11553461543766919
27.0,0.0014995124662397497,0.11564852842183573
28.0,0.0030468777208465317,0.1154423782228308
29.0,0.002343697645255431,0.11538811016156494
30.0,0.00220767673029168,0.11535927885403274
31.0,0.0019373393255431026,0.1153411466861054
32.0,0.001616117000394511,0.11534373962301836
33.0,0.001397717800940966,0.11541301582848451
34.0,0.0012293754639555246,0.1156135954239732
35.0,0.00107886282738575,0.11577432688637784
36.0,0.0009435899829456015,0.11575834950030317
37.0,0.0008654069208638288,0.11574138283420046
38.0,0.0008066028523703792,0.11574026513506314
39.0,0.0007872827523272632,0.11572423759648509
40.0,0.0008128523538455668,0.11570013117658218
41.0,0.000847788035163527,0.11566874240808722
42.0,0.0008212502292664903,0.11564097774991489
43.0,0.0007833286291727415,0.11552257006053201
44.0,0.0008690501496869674,0.11554334532857546
45.0,0.0009979718693691186,0.11558767554815075
